frame.time_relative,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,ct_srv_src,ct_dst_ltm
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
,,,,,,,,,,,0,0,0.0,0.0,,0,0,0
